en	phonetic	cn	example	exampleCn	synonym	root
cease	/siːs/	v. 停止，终止	Never cease reciting words before exam.	考前不要停止背词。	同义：stop, end反义：continue	cess 行走（停下）
certain	/ˈsɜːtn/	adj. 确定；某一	I am certain I can pass CET-4.	我确定我能通过四级。	同义：sure反义：doubtful	tain 持有
change	/tʃeɪndʒ/	v.&n. 改变；更换	Change your reciting method if useless.	背词无效就更换方法。	同义：alter, shift反义：keep	古法语 changier
characteristic	/ˌkærəktəˈrɪstɪk/	adj. 典型 n. 特征	This is a characteristic word in reading.	这是阅读高频典型词汇。	同义：typical	character 特质 + istic
cheat	/tʃiːt/	v. 欺骗；作弊	Never cheat in CET-4 examination.	四级考试切勿作弊。	同义：deceive反义：honest	古英语 ceate
cheer	/tʃɪə(r)/	v. 鼓舞；欢呼	Cheer yourself up when tired of reciting.	背词疲惫时鼓舞自己。	同义：encourage反义：depress	cheer 欢呼
circulate	/ˈsɜːkjəleɪt/	v. 循环；传播	Circulate word lists among classmates.	单词表在同学间传阅。	同义：spread, cycle反义：block	cir 圈 + ulate 循环
citizen	/ˈsɪtɪzn/	n. 公民；市民	Every citizen should master basic English.	每位公民都应掌握基础英语。	同义：resident	city 城市 + zen 人
clarify	/ˈklærɪfaɪ/	v. 澄清；阐明	Clarify confusing word meanings.	理清易混单词词义。	同义：explain反义：confuse	clar 清晰 + ify 使
collaborate	/kəˈlæbəreɪt/	v. 合作	Collaborate with roommates to review words.	和室友合作复习单词。	同义：cooperate反义：compete	col 共同 + labor 劳作 + ate
collect	/kəˈlekt/	v. 收集；积攒	Collect unfamiliar words in notebook.	把生词收集在笔记本。	同义：gather反义：scatter	col 共同 + lect 收集
commercial	/kəˈmɜːʃl/	adj. 商业 n. 广告	Commercial English words often appear.	商务类单词频繁出现。	同义：business	commerce 商业 + ial
complete	/kəmˈpliːt/	adj. 完整 v. 完成	Complete daily word task before sleep.	睡前完成当日背词任务。	同义：finish, whole反义：incomplete	com 完全 + plete 填满
compose	/kəmˈpəʊz/	v. 创作；组成	Compose short sentences with new words.	用生词造短句。	同义：form, write反义：separate	com 共同 + pose 放置
concern	/kənˈsɜːn/	v. 涉及；担忧 n. 关切	Word forgetting concerns many students.	单词遗忘困扰很多学生。	同义：worry, involve反义：ignore	con 共同 + cern 区分
conclude	/kənˈkluːd/	v. 得出结论；结束	Conclude your review with word testing.	复习末尾单词自测收尾。	同义：end, deduce反义：begin	con 完全 + clude 关闭
consequence	/ˈkɒnsɪkwəns/	n. 后果；结果	No review brings bad consequence in exam.	不复习考试吃亏。	同义：result, outcome反义：cause	con 共同 + sequ 跟随
consider	/kənˈsɪdə(r)/	v. 考虑；认为	Consider reciting words early in morning.	考虑早上背诵单词。	同义：think, regard反义：ignore	con 共同 + sid 审视
consist	/kənˈsɪst/	v. 由… 组成	CET-4 words consist of 4000 core vocab.	四级词汇由四千核心词构成。	同义：be made of反义：exclude	con 共同 + sist 站立
constant	/ˈkɒnstənt/	adj. 持续；恒定	Constant recitation improves vocabulary.	持续背诵提升词汇量。	同义：continuous反义：intermittent	con 共同 + stant 站立
construct	/kənˈstrʌkt/	v. 构建；建造	Construct word memory system step by step.	逐步搭建单词记忆体系。	同义：build反义：destroy	con 共同 + struct 建造
consult	/kənˈsʌlt/	v. 查阅；咨询	Consult dictionary for unknown words.	生词查阅词典。	同义：check, ask反义：guess	con 共同 + sult 商议
contain	/kənˈteɪn/	v. 包含；容纳	This word book contains all core words.	这本单词书包含全部核心词。	同义：include反义：exclude	con 共同 + tain 持有
continue	/kənˈtɪnjuː/	v. 继续；延续	Continue reciting even on weekends.	周末也坚持背词。	同义：proceed反义：stop	con 共同 + tin 保持
contribute	/kənˈtrɪbjuːt/	v. 贡献；促成	Daily reciting contributes to passing CET-4.	每日背诵助力通过四级。	同义：help, donate反义：hinder	con 共同 + tribute 给予
control	/kənˈtrəʊl/	v.&n. 控制；管理	Control your reciting time reasonably.	合理控制背词时长。	同义：manage反义：lose control	con 共同 + trol 掌控
convenient	/kənˈviːniənt/	adj. 方便；便捷	Mobile word app is convenient for review.	手机背词软件复习便捷。	同义：handy反义：inconvenient	con 共同 + ven 来 + ient
convince	/kənˈvɪns/	v. 说服；使确信	Convince yourself words are important.	说服自己单词很重要。	同义：persuade反义：doubt	con 完全 + vince 战胜（说服）
cooperate	/kəʊˈɒpəreɪt/	v. 合作；协作	Cooperate with partners to test words.	和搭档互相单词自测。	同义：collaborate反义：compete	co 共同 + operate 操作
create	/kriˈeɪt/	v. 创造；创作	Create your own word memory method.	自创单词记忆方法。	同义：invent反义：destroy	cre 生长 + ate
criticize	/ˈkrɪtɪsaɪz/	v. 批评；指责	Don’t criticize yourself for slow progress.	进步慢不要自责。	同义：blame反义：praise	critic 评判 + ize
cultivate	/ˈkʌltɪveɪt/	v. 培养；耕作	Cultivate daily reciting habit early.	尽早养成每日背词习惯。	同义：develop反义：ruin	cult 耕种 + ate
current	/ˈkʌrənt/	adj. 当前 n. 潮流	Current CET-4 test focuses on core words.	当下四级侧重核心词汇。	同义：present反义：past	cur 流动
custom	/ˈkʌstəm/	n. 风俗；习惯	Form a custom of reciting 60 words daily.	养成每日背 60 词的习惯。	同义：habit	cus 习惯
cycle	/ˈsaɪkl/	n. 循环；周期	Review words in 7-day cycle.	按七天周期复习单词。	同义：loop	cycl 圆环
damage	/ˈdæmɪdʒ/	v.&n. 损害；毁坏	Long-time forgetting damages vocabulary base.	长期遗忘破坏词汇基础。	同义：harm反义：protect	dam 损失 + age
debate	/dɪˈbeɪt/	n.&v. 辩论；讨论	We will debate the importance of vocabulary learning.	我们将讨论词汇学习的重要性。	同义：discuss, argue反义：agree	de 加强 + bat 击打；你来我往地讨论
decade	/ˈdekeɪd/	n. 十年	Great changes have taken place in the past decade.	过去十年发生了巨大变化。	同义：ten years	deca 十
decide	/dɪˈsaɪd/	v. 决定；下决心	Decide your daily word-recitation plan before starting.	开始前先确定每日背词计划。	同义：determine, choose反义：hesitate	de 向下 + cide 切割；切断分歧做决定
decision	/dɪˈsɪʒn/	n. 决定；抉择	Make a clear decision and stick to it.	做出明确决定并坚持下去。	同义：choice, judgment反义：indecision	decide 的名词形式
declare	/dɪˈkleə(r)/	v. 宣布；声明	The teacher declared the date of the final exam.	老师宣布了期末考试日期。	同义：announce, proclaim反义：hide	de 加强 + clar 清晰；公开说清楚
decline	/dɪˈklaɪn/	v. 下降；衰退；谢绝	The number of lazy students will not decline easily.	懒惰学生的数量不会轻易下降。	同义：decrease, refuse反义：increase	de 向下 + cline 倾斜；向下倾斜
decorate	/ˈdekəreɪt/	v. 装饰；点缀	Decorate your notebook with useful word notes.	用有用的单词笔记点缀你的笔记本。	同义：adorn, beautify反义：strip	decor 装饰 + ate 动词后缀
deep	/diːp/	adj. 深的；深刻的	A deep understanding of sentences helps memorize words.	深刻理解句子有助于记单词。	同义：profound反义：shallow	古英语 deop
defeat	/dɪˈfiːt/	v. 击败 n. 失败	Don’t let temporary difficulties defeat you.	不要让暂时的困难打败你。	同义：beat, conquer反义：victory	de 向下 + feat 做；做下去反而失败
defend	/dɪˈfend/	v. 防御；保护	Defend your study time from unnecessary interruptions.	保护你的学习时间，避免不必要干扰。	同义：protect, guard反义：attack	de 向下 + fend 击打；打下去保护自己
define	/dɪˈfaɪn/	v. 定义；明确	Define the meaning of each new word clearly.	清楚定义每个生词的含义。	同义：explain, clarify反义：confuse	de 向下 + fin 边界；划清边界
definite	/ˈdefɪnət/	adj. 明确的；一定的	Set a definite goal for vocabulary learning.	为词汇学习设定明确目标。	同义：certain, clear反义：indefinite	define 的形容词形式
definition	/ˌdefɪˈnɪʃn/	n. 定义；释义	Write a simple definition beside each difficult word.	在每个难词旁写一个简单释义。	同义：meaning, explanation	definite 的名词形式
delay	/dɪˈleɪ/	v.&n. 推迟；耽搁	Do not delay your word review until the last day.	不要把单词复习拖到最后一天。	同义：postpone, put off反义：advance	de 加强 + lay 放置；往后放
deliver	/dɪˈlɪvə(r)/	v. 递送；发表	Deliver your speech in simple and clear English.	用简单清晰的英语发表演讲。	同义：send, utter反义：withhold	de 加强 + liber 自由；释放出去
demand	/dɪˈmɑːnd/	v.&n. 要求；需求	The exam demands a large vocabulary and fast reading.	考试要求词汇量大且阅读速度快。	同义：require, need反义：supply	de 加强 + mand 命令；强烈要求
democratic	/ˌdeməˈkrætɪk/	adj. 民主的；平等的	A democratic learning environment encourages students to speak.	平等的学习环境鼓励学生发言。	同义：equal, popular反义：authoritarian	demo 民众 + crat 统治 + ic
demonstrate	/ˈdemənstreɪt/	v. 证明；展示	Demonstrate your English ability through daily practice.	通过日常练习展示你的英语能力。	同义：show, prove反义：hide	de 加强 + monstr 展示 + ate
deny	/dɪˈnaɪ/	v. 否认；拒绝	You cannot deny the importance of reading in English learning.	你不能否认阅读在英语学习中的重要性。	同义：refuse, reject反义：admit	de 加强 + ny 否认
depart	/dɪˈpɑːt/	v. 离开；出发	We will depart early to catch the first bus.	我们会早早出发去赶第一班车。	同义：leave, set off反义：arrive	de 离开 + part 分开
department	/dɪˈpɑːtmənt/	n. 部门；系	She works in the English department of the university.	她在大学英语系工作。	同义：section, division	depart + ment 名词后缀
depend	/dɪˈpend/	v. 依靠；取决于	Your progress depends on consistent effort.	你的进步取决于持续努力。	同义：rely反义：independent	de 向下 + pend 悬挂；挂在某物上
dependent	/dɪˈpendənt/	adj. 依赖的；取决于	Children are usually dependent on their parents.	孩子通常依赖父母。	同义：reliant反义：independent	depend + ent 形容词后缀
depth	/depθ/	n. 深度；深刻	The depth of your reading comprehension matters greatly.	你的阅读理解深度非常重要。	同义：profundity反义：shallowness	deep 的名词形式
depress	/dɪˈpres/	v. 使沮丧；压低	Do not let failure depress your motivation.	不要让失败打击你的积极性。	同义：discourage, sadden反义：encourage	de 向下 + press 按压；压下去
depression	/dɪˈpreʃn/	n. 抑郁；萧条	Continuous pressure may lead to depression.	持续压力可能导致抑郁。	同义：sadness, gloom反义：joy	depress + ion 名词后缀
derive	/dɪˈraɪv/	v. 获得；源自	Many English words derive from Latin and French.	许多英语单词源自拉丁语和法语。	同义：obtain, originate	de 从 + riv 河流；从河水流向而来
descend	/dɪˈsend/	v. 下降；下来	The balloon began to descend slowly.	气球开始缓慢下降。	同义：fall, drop反义：ascend	de 向下 + scand 爬；向下爬
describe	/dɪˈskraɪb/	v. 描述；形容	Describe your daily study routine in English.	用英语描述你的日常学习流程。	同义：depict, explain反义：obscure	de 向下 + scribe 写；写下来
description	/dɪˈskrɪpʃn/	n. 描述；说明	Write a brief description beside each new word.	在每个生词旁写一段简短说明。	同义：account, explanation	describe 的名词形式
deserve	/dɪˈzɜːv/	v. 应得；值得	If you study hard, you deserve a good result.	如果你努力学习，就应得到好结果。	同义：earn, merit反义：undeserve	de 加强 + serv 服务；该得到回报
design	/dɪˈzaɪn/	v.&n. 设计；构思	Design a reasonable vocabulary plan before the exam.	考前设计一个合理的词汇计划。	同义：plan, create反义：destroy	de 向下 + sign 标记；做标记
desirable	/dɪˈzaɪərəbl/	adj. 值得向往的；可取的	A quiet study environment is highly desirable.	安静的学习环境非常可取。	同义：appealing, worthwhile反义：undesirable	desire + able 可… 的
desire	/dɪˈzaɪə(r)/	n.&v. 渴望；欲望	A strong desire can push you to study harder.	强烈的渴望能推动你更努力学习。	同义：wish, longing反义：dislike	de 加强 + sire 渴望
destination	/ˌdestɪˈneɪʃn/	n. 目的地；目标	Our destination is not only passing the exam but also using English well.	我们的目标不仅是通过考试，更是用好英语。	同义：goal, end反义：starting point	destin 命中 + ation；命中的终点
destroy	/dɪˈstrɔɪ/	v. 破坏；摧毁	Careless mistakes can destroy your confidence overnight.	粗心错误可能一夜之间摧毁你的信心。	同义：ruin, damage反义：build	de 相反 + stroy 建造；反建造即破坏
destruction	/dɪˈstrʌkʃn/	n. 破坏；毁灭	War brings great destruction to human life.	战争给人类生活带来巨大破坏。	同义：ruin, damage反义：construction	destroy 的名词形式
detail	/ˈdiːteɪl/	n. 细节；详情	Pay attention to small details when memorizing words.	背单词时注意小细节。	同义：specifics, part反义：overview	de 分开 + tail 切割；切成细节
detailed	/ˈdiːteɪld/	adj. 详细的；细致的	Keep a detailed notebook for difficult words.	为难词准备一本详细笔记。	同义：specific, thorough反义：brief	detail + ed 形容词后缀
