en	phonetic	cn	example	exampleCn	synonym	root
gloomy	/ˈɡlumi/	adj.  忧郁的， 沮丧的； 令人沮丧的； 昏暗的， 阴沉的	The report paints a gloomy picture of the economy.	这篇报告描绘了一幅惨淡的经济现状。	同义：dark	同根：gloomily  沮丧地；黑暗地；阴沈地；gloom  忧郁；阴暗；gloominess  黑暗；沮丧
kidnap	/ˈkɪdnæp/	n.  绑架， 诱拐	Stewart denies attempted murder and kidnap.	斯图尔特否认有谋杀和绑架的企图。	同义：spirit	同根：kidnapper  绑匪；诱拐者；kidnaper  绑匪；拐子
warrant	/ˈwɔrənt/	n. 授权令；理由，根据 vt.  证明…是正当的	There is no warrant for copying other people’s work.	剽窃他人作品毫无道理。	同义：authentication, assure	同根：warranted  保证的；担保的；warranty  保证；担保；授权；（正当）理由；warrantee  被保证人；被担保人
calculate	/ˈkælkjulet/	v.  计算， 推算； 计划， 打算	These instruments calculate distances precisely.	这些仪器计算距离非常精确。	同义：figure, expect	同根：calculated  计算出的；适合的；有计划的；calculating  计算的；深谋远虑的；审慎的；calculable  可计算的；能预测的；可靠的
persistent	/pəˈzɪstənt/	adj.  坚持不懈的， 执意的； 持续的	persistent rumours	持续流传的谣言	同义：fixed	同根：persistently  坚持地；固执地；perseverance  坚持不懈；不屈不挠；persistence  持续；固执；存留
authorize	/ˈɔθəraɪz/	vt.  授权， 批准	an authorized biography	授权传记	同义：confirm	同根：authorized  经授权的；经认可的；authorization  授权，认可；批准，委任；authorizer  核准人；授权人
sake	/sek/	n.  缘故， 理由	He moved to the seaside for the sake of his health.	他为了健康而迁居海滨。	同义：goals	
audience	/ˈɔdɪəns/	n.  听众， 观众； 读者	The audience began clapping and cheering.	观众开始鼓掌欢呼。	同义：reader	
rehearsal	/rɪˈhɝsl/	n.  排练， 排演	a wedding rehearsal	婚礼的预演	同义：relation	同根：rehearse  排练；演习；rehearse  排练；预演
sniff	/snɪf/	v. 以鼻吸气，用力吸入；嗅，闻 n.  吸气； 嗅， 闻	Margaret sniffed miserably and nodded.	玛格丽特可怜地抽泣着点了点头。	同义：smell, smell, suction	同根：sniffy  嗤之以鼻的；自命不凡的；微臭的；sniffer  嗅探器；嗅探犬；以鼻吸毒者
narrative	/ˈnærətɪv/	n.  叙述文， 故事； 叙述， 讲述	At several points in the narrative the two stories cross.	叙述中两条故事线多次交织在一起。	同义：relation, related	同根：narrator  叙述者；解说员；narration  叙述，讲述；故事；narrate  叙述；讲述
possess	/pəˈzɛs/	vt.  占用， 拥有	Different workers possess different skills.	不同的工人拥有不同技能。	同义：contain	同根：possessive  占有的；所有的；所有格的；占有欲强的；possession  拥有；财产；领地；自制；着迷；possessive  所有格
neutral	/ˈnʊtrəl/	adj.  中立的， 中性的	I always tried to remain neutral when they started arguing.	他们争论起来的时候我总是努力保持中立。	同义：indifferent, fence-sitter	同根：neuter  中性的；不及物的；无性的；neutralized  中立化的；neutrality  中立；中性；中立立场
scratch	/skrætʃ/	v. 抓，搔，扒；刮擦，刻划 n.  抓痕， 划痕； 抓， 搔， 刮	John yawned and scratched his leg.	约翰打了个呵欠，挠了挠腿。	同义：abrasion, hit-and-miss, paw, grasp	同根：scratchy  潦草的；刺痒的；草率的；发刮擦声的；scratcher  抓扒者；抓扒工具
analysis	/əˈnæləsɪs/	n.  分析， 分析报告； 分解， 解析	She’s been in analysis for three years.	她接受精神分析治疗已经三年了。	同义：decomposition	同根：analytical  分析的；解析的；善于分析的；analytic  分析的；解析的；善于分析的；analyzable  可分析的
devise	/dɪˈvaɪz/	vt.  设计， 发明	She devised a method for quicker communications between offices.	她想出一种加快办公室之间通信联络的方法。	同义：design, legacy	同根：devisal  设计；发明；策划；devisee  受遗赠者；deviser  设计者
cooperative	/koˈɑpərətɪv/	adj. 有合作意向的，乐意合作的；合作的，协作的 n.  合作社， 合作商店	He was doing his best to be cooperative.	他在尽全力配合。	同义：coefficient, artel	同根：cooperatively  合作地；cooperation  合作，协作；[劳经] 协力；cooperator  合作者；合作社社员
triple	/ˈtrɪpl/	adj. 三部分的，三方的；三倍的，三重的 v.  增至三倍	a triple murder investigation	对一宗三重谋杀案的调查	同义：trinary, ternion, trifold, treble	同根：tripling  群交；triplicity  三倍；三位一体；三个一幅；tripling  使增至三倍；增至三倍（triple的ing形式）
clutch	/klʌtʃ/	vi. 企图抓住 vt. 抓紧，紧握 n.  离合器； 掌握， 控制； 把握， 抓紧	He clutched at a pillar for support.	他猛地抓住一根柱子作支撑。	同义：control, grasp	
temper	/ˈtɛmpɚ/	n. 韧度；心情，情绪 vt.  调和， 使缓和； 回火	Pete hit his brother in a fit of temper .	皮特一气之下打了他弟弟。	同义：tendency, comfort, pop back	同根：tempered  缓和的，温和的；调节的；有…气质的；temperamental  喜怒无常的；性情的；易兴奋的；temperance  温暖的；有节制的
grope	/ɡrop/	vi. 暗中摸索，搜索；探索，搜寻 vt.  摸索	With his left hand he groped for the knob, turned it, and pulled the door open.	他用左手摸索到门把手，转动把手，把门拉开。	同义：explore, feel about, feel	同根：groping  探索的；暗中摸索的；gropingly  摸索着；暗中摸索地；groping  摸索（grope的ing形式）
rejoice	/rɪˈdʒɔɪs/	vi.  感到高兴， 充满喜悦	Garbo plays the queen, rejoicing in the love she has found with Antonio.	嘉宝饰演沉浸在与安东尼奥爱情的欣喜中的王后。	同义：pleasure, glad	同根：rejoicing  高兴；欣喜；庆祝；rejoicing  使欣喜（rejoice的ing形式）；感到高兴
frantic	/ˈfræntɪk/	adj.  慌乱不安的； 发疯似的， 发狂的	I spent three frantic days trying to get everything ready.	我花了三天时间手忙脚乱地做准备。	同义：crazy	同根：frantically  疯狂似地；狂暴地
tickle	/ˈtɪkl/	vi. 发痒 vt. 使发痒；使高兴，逗乐 n.  痒	Stop tickling me!	别挠我痒痒！	同义：please	同根：ticklish  不安定的，不稳定的；难对付的；易倒的；易痒的；忌讳的；ticker  滴答响的东西；自动收报机；钟表；断续器；tickler  难题；使人痒的东西或人；备忘录；使人高兴的人或物
object	/ˈɑbdʒɛkt/	vi.  反对， 不赞成 n.  实物， 物体； 目的， 目标； 对象， 客体； 宾语	If no one objects, I would like Mrs Harrison to be present.	如果没人反对的话，我想请哈里森夫人出席。	同义：target, refuse	同根：objective  客观的；目标的；宾格的；objectionable  讨厌的；会引起反对的；有异议的；objectively  客观地
humble	/ˈhʌmbl/	adj. 谦逊的；地位低下的；简陋的 vt.  使谦恭； 使卑下	a modest and humble man	一个谦卑的男人		
commodity	/kəˈmɑdəti/	n.  商品， 货物	agricultural commodities	农业商品	同义：cargo	
cliff	/klɪf/	n.  悬崖， 峭壁	The car rolled over the edge of a cliff.	汽车翻下了悬崖边。	同义：precipice	同根：cliffy  陡峭的；多悬崖的
obedient	/oˈbidiənt/	adj.  服从的， 顺从的	an obedient child	听话的孩子	同义：followed	同根：obediently  顺从地；服从地；忠顺地；obedience  服从；顺从；遵守
infinite	/ˈɪnfɪnət/	adj.  无限的， 无数的	The universe is infinite.	宇宙是无限的。	同义：huge, Mugen	同根：infinitive  不定式的；infinitesimal  无穷小的；无限小的；极小的；infinitely  无限地；极其
misery	/ˈmɪzəri/	n.  痛苦， 苦恼， 苦难； 悲惨的境遇， 贫苦	What we are witnessing here is human misery on a vast scale.	我们在这里所目睹的情景是许许多多的人都生活困苦。	同义：smart	
blur	/blɝ/	v.  变模糊 n. 模糊，模糊的东西	The street lights were blurred by the fog.	街灯在迷雾的笼罩下十分昏暗。	同义：cloud, fog, work-up	同根：blurred  模糊不清的；被弄污的；blurry  模糊的；污脏的；不清楚的；blurriness  模糊强度
suffice	/səˈfaɪs/	vi.  足够	A light lunch will suffice .	简单的午餐就够了。	同义：content, serve	同根：sufficient  足够的；充分的；sufficiently  充分地；足够地
concede	/kənˈsid/	vi.  让步， 认输 vt. 承认，承认…为真；承认失败；允许，让予	‘That’s the only possible solution.’ ‘Yes, I suppose so,’ Charles conceded.	“那是唯一可行的解决办法。”“对，我想是。”查尔斯承认道。	同义：afford, meet halfway	
notable	/ˈnotəbl/	adj. 值得注意的，显著的；著名的 n.  名人， 要人	Every country in the world signed the treaty, with one notable exception - the United States.	全世界每个国家都签署了那份条约，只有一个国家反其道而行之，就是美国。	同义：famous, personality	同根：noted  著名的；显著的；附有乐谱的；notably  显著地；尤其；note  笔记；音符；票据；注解；纸币；便笺；照会；调子
plausible	/ˈplɔzəbl/	adj.  似有道理的， 似乎正确的， 貌似可信的	His story certainly sounds plausible.	他的叙述听上去当然很合理。	同义：smooth-tongued	同根：plausive  喝采的；似乎真实可信的（等于plausible）；plausibly  似真地；plausibility  善辩；似乎有理；貌似可信
equator	/ɪˈkwetɚ/	n.  赤道	Knows(Those ) from south of the [ equator ] come to the United States during the northern winter .	那些来自赤道以南的学生在北方的冬天来到美国。	同义：equinoctial	
commission	/kəˈmɪʃən/	n. 委任状；委员会；佣金，回扣；授权，委托 vt.  委任， 委托	The Government set up a commission to investigate allegations of police violence.	政府成立了一个委员会调查对警察施暴行为的指控。	同义：council, depute	同根：committed  坚定的；效忠的；承担义务的；commissioned  受委任的，受任命的；服役的，现役的；commitment  承诺，保证；委托；承担义务；献身
staircase	/ˈstɛrkes/	n.  楼梯	They walked down the staircase together.	他们一起沿楼梯通道往下走。	同义：apples and pears	同根：stairway  阶梯，楼梯
flip	/flɪp/	adj.  〈口〉无理的， 轻率的， 轻浮的 vt. 快速翻动，转动 n. 捻掷，轻抛；轻拍	I was fed up with his flip comments.	我听够了他那些轻率的评论。	同义：throw, frisk, rude, somesault	同根：flipper  无礼的；flippant  轻率的；嘴碎的；没礼貌的；flippantly  没礼貌地；轻率地
rational	/ˈræʃnəl/	adj.  理性的， 理智的； 合理的	Parents need to be fully informed so they can make a rational decision.	父母需要充分了解情况，这样才可以作出合理的决定。	同义：reasonable	同根：rationalistic  理性主义的；纯理论的；rationally  理性地；讲道理地；rationale  基本原理；原理的阐述
barricade	/ˈbærɪˈked/	n. 路障，栅栏，障碍 vt.  设路障于， 挡住	The fans were kept back behind barricades.	歌迷们被拦在路障后面。	同义：road-block, slow	
resume		vt.  重新开始， 继续， 恢复 n.  摘要， 概要； 简历	She hopes to resume work after the baby is born.	她想生完孩子后继续工作。	同义：bio, recover	同根：resumption  恢复；重新开始；取回；重获；恢复硬币支付
